FORM,GLOTTOCODE,SoundClasses,SegmentCount,EMOTION
pakanaono,teop1238,pakanaono,9,LEXICON
ana,teop1238,ana,3,LEXICON
purupuru,teop1238,purupuru,8,LEXICON
vua,teop1238,vua,3,LEXICON
garas,teop1238,garas,5,LEXICON
rasu,teop1238,rasu,4,LEXICON
gigiruva,teop1238,gigiruva,8,LEXICON
kasuana,teop1238,kasuana,7,LEXICON
vasu,teop1238,vasu,4,LEXICON
kasuana,teop1238,kasuana,7,LEXICON
kakamuru,teop1238,kakamuru,8,LEXICON
ruene,teop1238,ruene,5,LEXICON
oro,teop1238,oro,3,LEXICON
tahiː,teop1238,tahi,4,LEXICON
tahi,teop1238,tahi,4,LEXICON
tahiː,teop1238,tahi,4,LEXICON
namana,teop1238,namana,6,LEXICON
kopua,teop1238,kopua,5,LEXICON
rasuː,teop1238,rasu,4,LEXICON
rasu,teop1238,rasu,4,LEXICON
suviri,teop1238,suviri,6,LEXICON
sivao,teop1238,sivao,5,LEXICON
pitopito,teop1238,pitopito,8,LEXICON
ununuː,teop1238,ununu,5,LEXICON
ununu,teop1238,ununu,5,LEXICON
ununuː,teop1238,ununu,5,LEXICON
ununu,teop1238,ununu,5,LEXICON
huan,teop1238,huan,4,LEXICON
piraː,teop1238,pira,4,LEXICON
pira,teop1238,pira,4,LEXICON
vaːkasi,teop1238,vakasi,6,LEXICON
iravata,teop1238,iravata,7,LEXICON
kuː,teop1238,ku,2,LEXICON
piuvu,teop1238,piuvu,5,LEXICON
naovo,teop1238,naovo,5,LEXICON
hihivavasihun,teop1238,hihivavasihun,13,LEXICON
tovuhu,teop1238,tovuhu,6,LEXICON
paran,teop1238,paran,5,LEXICON
rakaraka,teop1238,rakaraka,8,LEXICON
purihi,teop1238,purihi,6,LEXICON
ponisi,teop1238,ponisi,6,LEXICON
suraː,teop1238,sura,4,LEXICON
sura,teop1238,sura,4,LEXICON
asi,teop1238,asi,3,LEXICON
aho,teop1238,aho,3,LEXICON
kavoto,teop1238,kavoto,6,LEXICON
paru,teop1238,paru,4,LEXICON
kakavoː,teop1238,kakavo,6,LEXICON
kakavo,teop1238,kakavo,6,LEXICON
goguravi,teop1238,goguravi,8,LEXICON
kasikasire,teop1238,kasikasire,10,LEXICON
perepere,teop1238,perepere,8,LEXICON
rutaː,teop1238,ruta,4,LEXICON
ruta,teop1238,ruta,4,LEXICON
beːra,teop1238,bera,4,LEXICON
bero,teop1238,bero,4,LEXICON
kakato,teop1238,kakato,6,LEXICON
bebeahu,teop1238,bebeahu,7,LEXICON
apaapa,teop1238,apaapa,6,LEXICON
ponoto,teop1238,ponoto,6,LEXICON
kopisi,teop1238,kopisi,6,LEXICON
banata,teop1238,banata,6,LEXICON
tatabonata,teop1238,tatabonata,10,LEXICON
kamisi,teop1238,kamisi,6,LEXICON
pote,teop1238,pote,4,LEXICON
subuava,teop1238,subuava,7,LEXICON
sumeke,teop1238,sumeke,6,LEXICON
voːn,teop1238,von,3,LEXICON
von,teop1238,von,3,LEXICON
mataː,teop1238,mata,4,LEXICON
mata,teop1238,mata,4,LEXICON
oraː,teop1238,ora,3,LEXICON
ora,teop1238,ora,3,LEXICON
omana,teop1238,omana,5,LEXICON
boni,teop1238,boni,4,LEXICON
roava,teop1238,roava,5,LEXICON
vinu,teop1238,vinu,4,LEXICON
tobonihi,teop1238,tobonihi,8,LEXICON
varavihi,teop1238,varavihi,8,LEXICON
peha,teop1238,peha,4,LEXICON
pehahiava,teop1238,pehahiava,9,LEXICON
tea,teop1238,tea,3,LEXICON
teo,teop1238,teo,3,LEXICON
komana,teop1238,komana,6,LEXICON
gina,teop1238,gina,4,LEXICON
putaː,teop1238,puta,4,LEXICON
puta,teop1238,puta,4,LEXICON
eie,teop1238,eie,3,LEXICON
ei,teop1238,ei,2,LEXICON
evei,teop1238,evei,4,LEXICON
oioi,teop1238,oioi,4,LEXICON
oi,teop1238,oi,2,LEXICON
eovoi,teop1238,eovoi,5,LEXICON
vahusu,teop1238,vahusu,6,LEXICON
vavura,teop1238,vavura,6,LEXICON
have,teop1238,have,4,LEXICON
eana,teop1238,eana,4,LEXICON
ena,teop1238,ena,3,LEXICON
eove,teop1238,eove,4,LEXICON
eara,teop1238,eara,4,LEXICON
eam,teop1238,eam,3,LEXICON
ean,teop1238,ean,3,LEXICON
eori,teop1238,eori,4,LEXICON
tabae,teop1238,tabae,5,LEXICON
teie,teop1238,teie,4,LEXICON
meho,teop1238,meho,4,LEXICON
kavararara,teop1238,kavararara,10,LEXICON
bara,teop1238,bara,4,LEXICON
evehe,teop1238,evehe,5,LEXICON
have,teop1238,have,4,LEXICON
eisau,teop1238,eisau,5,LEXICON
ahiki,teop1238,ahiki,5,LEXICON
ahe,teop1238,ahe,3,LEXICON
peha,teop1238,peha,4,LEXICON
buaku,teop1238,buaku,5,LEXICON
kukan,teop1238,kukan,5,LEXICON
dorana,teop1238,dorana,6,LEXICON
ʃwáka,diri1252,Swaka,5,LEXICON
náβit͡ʃɛ,diri1252,nabiCE,6,LEXICON
dîmu,diri1252,dimu,4,LEXICON
kɔrama,diri1252,korama,6,LEXICON
limburura,diri1252,limburura,9,LEXICON
ɣuru,diri1252,xuru,4,LEXICON
βɔkɔ,diri1252,boko,4,LEXICON
kwápa,diri1252,kwapa,5,LEXICON
mjátuka,diri1252,myatuka,7,LEXICON
ʃɛβɔ,diri1252,SEbo,4,LEXICON
rɔmba,diri1252,romba,5,LEXICON
kuβa,diri1252,kuba,4,LEXICON
bɔ,diri1252,bo,2,LEXICON
ɣɔŋgɔ,diri1252,xoNgo,5,LEXICON
fupa,diri1252,fupa,4,LEXICON
dɔna,diri1252,dona,4,LEXICON
banána,diri1252,banana,6,LEXICON
jura,diri1252,yura,4,LEXICON
faɣɔma,diri1252,faxoma,6,LEXICON
rɛma,diri1252,rEma,4,LEXICON
d͡ʒwɛdu,diri1252,jwEdu,5,LEXICON
ruŋgwɛna,diri1252,ruNgwEna,8,LEXICON
kamba,diri1252,kamba,5,LEXICON
jura,diri1252,yura,4,LEXICON
ǀɛǀ̰a,diri1252,!E!a,4,LEXICON
puka,diri1252,puka,4,LEXICON
kuɲîmaja,diri1252,ku5imaya,8,LEXICON
pumba,diri1252,pumba,5,LEXICON
hɛrɛma,diri1252,hErEma,6,LEXICON
rɔha,diri1252,roha,4,LEXICON
nɛnɛ,diri1252,nEnE,4,LEXICON
dîra,diri1252,dira,4,LEXICON
ʃuma,diri1252,Suma,4,LEXICON
ruru,diri1252,ruru,4,LEXICON
tipu,diri1252,tipu,4,LEXICON
ʃuʃirɔ,diri1252,SuSiro,6,LEXICON
twiku,diri1252,twiku,5,LEXICON
hɔndɛ,diri1252,hondE,5,LEXICON
tu,diri1252,tu,2,LEXICON
bwákita,diri1252,bwakita,7,LEXICON
fupa,diri1252,fupa,4,LEXICON
rudi,diri1252,rudi,4,LEXICON
tawáŋkand͡ʒa,diri1252,tawaNkanja,10,LEXICON
ruβi,diri1252,rubi,4,LEXICON
taβi,diri1252,tabi,4,LEXICON
vuɲa,diri1252,vu5a,4,LEXICON
biʃura,diri1252,biSura,6,LEXICON
ŋku,diri1252,Nku,3,LEXICON
ʝîta,diri1252,Zita,4,LEXICON
piʃura,diri1252,piSura,6,LEXICON
rɛra,diri1252,rEra,4,LEXICON
tuŋga,diri1252,tuNga,5,LEXICON
twɛdu,diri1252,twEdu,5,LEXICON
ʃuwaʃuwa,diri1252,SuwaSuwa,8,LEXICON
roŋgerero,diri1252,roNgerero,9,LEXICON
ruŋgwira,diri1252,ruNgwira,8,LEXICON
vumbika,diri1252,vumbika,7,LEXICON
iʝa,diri1252,iZa,3,LEXICON
tako,diri1252,tako,4,LEXICON
ɣura,diri1252,xura,4,LEXICON
tuto,diri1252,tuto,4,LEXICON
ʝiɣira,diri1252,Zixira,6,LEXICON
vika,diri1252,vika,4,LEXICON
reŋga,diri1252,reNga,5,LEXICON
gombe,diri1252,gombe,5,LEXICON
pwa,diri1252,pwa,3,LEXICON
puna,diri1252,puna,4,LEXICON
pundi,diri1252,pundi,5,LEXICON
kara,diri1252,kara,4,LEXICON
βiŋga,diri1252,biNga,5,LEXICON
tama,diri1252,tama,4,LEXICON
tʰuro,diri1252,turo,4,LEXICON
ona,diri1252,ona,3,LEXICON
d͡ʒumu,diri1252,jumu,4,LEXICON
hovorora,diri1252,hovorora,8,LEXICON
kôro,diri1252,koro,4,LEXICON
keʃe,diri1252,keSe,4,LEXICON
remo,diri1252,remo,4,LEXICON
tenda,diri1252,tenda,5,LEXICON
mjátuka,diri1252,myatuka,7,LEXICON
mánita,diri1252,manita,6,LEXICON
tikilira,diri1252,tikilira,8,LEXICON
tereka,diri1252,tereka,6,LEXICON
ɲuŋgu,diri1252,5uNgu,5,LEXICON
t͡ʃimba,diri1252,Cimba,5,LEXICON
turo,diri1252,turo,4,LEXICON
vára,diri1252,vara,4,LEXICON
roŋgo,diri1252,roNgo,5,LEXICON
pata,diri1252,pata,4,LEXICON
vindakana,diri1252,vindakana,9,LEXICON
lira,diri1252,lira,4,LEXICON
herera,diri1252,herera,6,LEXICON
